Country,1990,2000,2010,2015,2016,2017,2018,2019,2020,desk_study
Bolivia (Plurinational State of),57804.72,55101.39,53086.01,52027.22,51750.68,51492.22,51253.24,51033.76,50833.76,False
British Virgin Islands,3.71,3.67,3.64,3.62,3.62,3.62,3.62,3.62,3.62,True
Cabo Verde,15.38,39.72,42.72,44.22,44.52,44.82,45.12,45.42,45.72,False
Czechia,2629.42,2637.29,2657.38,2668.39,2669.85,2671.66,2673.47,2675.28,2677.09,False
Democratic People's Republic of Korea,6912.03,6454.69,6242.39,6136.24,6115.01,6093.78,6072.55,6051.32,6030.09,True
Democratic Republic of the Congo,150629.0,143899.0,137169.0,131662.12,130560.74,129459.37,128357.99,127256.61,126155.24,False
Eswatini,461.14,473.28,485.43,491.5,492.72,493.93,495.14,496.35,497.56,False
French Guyana,8125.0,8079.44,8036.5,8020.0,8016.57,8013.14,8009.71,8006.28,8002.85,False
Holy See,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Iran (Islamic Republic of),9076.06,9325.66,10691.98,10691.98,10702.08,10710.59,10727.03,10743.47,10751.87,False
Micronesia (Federated States of),63.58,63.86,64.13,64.27,64.3,64.33,64.36,64.39,64.42,False
North Macedonia,912.0,957.55,960.43,994.4,1001.67,1001.49,1001.49,1001.49,1001.49,True
Palestine,9.08,9.08,9.95,10.14,10.14,10.14,10.14,10.14,10.14,True
Republic of Korea,6551.0,6476.0,6387.0,6337.0,6325.0,6317.0,6307.0,6297.0,6287.0,False
Republic of Moldova,325.4,344.4,374.5,386.4,386.5,386.5,386.5,386.5,386.5,False
Saint Helena,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True
Saint-Martin (French Part),1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,True
Svalbard and Jan Mayen Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
United Kingdom of Great Britain and Northern Ireland,2778.0,2954.0,3059.0,3155.0,3159.0,3164.0,3173.0,3182.0,3190.0,False
United Republic of Tanzania,57390.01,53670.01,49950.01,48090.0,47621.0,47152.0,46683.0,46214.0,45745.0,False
United States Virgin Islands,24.54,20.47,18.43,19.16,19.31,19.46,19.61,19.76,19.91,False
United States of America,302450.0,303536.0,308720.0,310095.0,310095.0,309795.0,309795.0,309795.0,309795.0,False
Venezuela (Bolivarian Republic of),52026.0,49151.0,47505.0,46683.0,46543.26,46428.18,46337.76,46272.0,46230.9,False
Wallis and Futuna Islands,5.8,5.81,5.82,5.83,5.83,5.83,5.83,5.83,5.83,True
Â© FRA 2021,,,,,,,,,,False
2021-01-05,,,,,,,,,,False
